epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,593.572,1.82657,2.30625,1.9518,0.17828,0.33333,0.16369,0.12247,2.34413,5.93019,3.00908,0.000551359,0.000551359,0.000551359
2,1165.01,1.81898,2.01403,1.90391,0.02801,0.11111,0.00754,0.00343,3.55423,12.1502,4.85776,0.00108511,0.00108511,0.00108511
3,1737.47,1.80282,1.85396,1.86091,0.15022,0.11111,0.1371,0.08912,2.93979,7.27213,3.93472,0.00159685,0.00159685,0.00159685
4,2298.88,1.76158,1.77633,1.8301,0.09325,0.33333,0.13894,0.10638,2.8571,5.42769,3.75267,0.00156798,0.00156798,0.00156798
5,2860.33,1.71838,1.66999,1.78783,0.13386,0.33333,0.09875,0.06224,2.47965,3.90663,2.89604,0.00153497,0.00153497,0.00153497
6,3416.78,1.68711,1.63962,1.76678,0.1112,0.33333,0.05519,0.02623,2.73347,4.50611,3.4273,0.00150197,0.00150197,0.00150197
7,3967.82,1.61973,1.51869,1.71182,0.18001,0.33333,0.17311,0.16472,2.60115,3.04956,3.85033,0.00146896,0.00146896,0.00146896
8,4522.82,1.6194,1.50934,1.70684,0.16414,0.33333,0.17051,0.13326,2.72002,4.46351,3.8478,0.00143595,0.00143595,0.00143595
9,5075.1,1.56466,1.43444,1.66846,0.56463,0.22222,0.29466,0.23587,2.48236,3.32487,3.31493,0.00140295,0.00140295,0.00140295
10,5628.12,1.53484,1.40744,1.64059,0.10813,0.33333,0.03955,0.03069,2.52052,4.67088,3.6582,0.00136994,0.00136994,0.00136994
11,6182.5,1.52271,1.38087,1.64307,0.11115,0.33333,0.15233,0.11748,2.80609,3.46474,3.78278,0.00133693,0.00133693,0.00133693
12,6741.67,1.49458,1.32903,1.59529,0.14185,0.22222,0.0852,0.0645,2.50467,6.76865,3.42273,0.00130393,0.00130393,0.00130393
13,7298.18,1.47169,1.31929,1.58489,0.10712,0.33333,0.04099,0.02864,2.73439,5.76,4.17775,0.00127092,0.00127092,0.00127092
14,7857.92,1.45493,1.28331,1.57718,0.39403,0.11111,0.17086,0.12824,2.57173,4.79759,3.77805,0.00123791,0.00123791,0.00123791
15,8421.92,1.39341,1.23842,1.53029,0.11399,0.33333,0.05759,0.04296,2.53182,4.58363,3.81392,0.00120491,0.00120491,0.00120491
16,8979.64,1.40203,1.2427,1.5395,0.11058,0.33333,0.14732,0.12636,2.49772,4.00569,3.26392,0.0011719,0.0011719,0.0011719
17,9538.85,1.38636,1.21854,1.5296,0.11984,0.33333,0.09335,0.0763,2.46993,3.76726,3.66876,0.00113889,0.00113889,0.00113889
18,10106.9,1.36398,1.18658,1.49254,0.12341,0.33333,0.11202,0.07678,2.27647,4.58654,3.33723,0.00110589,0.00110589,0.00110589
19,10666.4,1.35757,1.17682,1.5056,0.1105,0.33333,0.06408,0.04845,2.33055,4.92125,3.42647,0.00107288,0.00107288,0.00107288
20,11221.4,1.31089,1.14297,1.47181,0.1093,0.22222,0.12434,0.0957,2.3487,4.94649,3.78988,0.00103987,0.00103987,0.00103987
21,11780.3,1.29435,1.13363,1.47365,0.17817,0.22222,0.21029,0.16637,2.76452,3.79643,4.52151,0.00100687,0.00100687,0.00100687
22,12334.7,1.27075,1.06672,1.42992,0.11151,0.33333,0.06458,0.05529,2.3859,4.86914,3.94312,0.000973861,0.000973861,0.000973861
23,12889,1.26456,1.08885,1.43632,0.14273,0.33333,0.19316,0.15209,2.44688,4.96403,4.16841,0.000940855,0.000940855,0.000940855
24,13440.4,1.23924,1.04241,1.40938,0.57381,0.22222,0.20928,0.1697,2.3191,4.51217,3.72637,0.000907848,0.000907848,0.000907848
25,13998.8,1.23561,1.05314,1.41179,0.14215,0.33333,0.17406,0.14336,2.45669,4.64661,4.05891,0.000874842,0.000874842,0.000874842
26,14563.3,1.22387,1.02326,1.40347,0.31279,0.33333,0.27365,0.22755,2.26942,4.79307,3.41532,0.000841835,0.000841835,0.000841835
27,15114.6,1.19064,0.97717,1.37231,0.11044,0.33333,0.05637,0.04747,2.41129,5.99659,4.1398,0.000808828,0.000808828,0.000808828
28,15668.7,1.19401,1.01007,1.3838,0.21418,0.33333,0.17335,0.13666,2.28431,3.24771,3.27702,0.000775822,0.000775822,0.000775822
29,16249.5,1.17585,0.96354,1.369,0.13413,0.22222,0.17631,0.14105,2.27135,5.00814,3.77454,0.000742815,0.000742815,0.000742815
30,16838.6,1.15594,0.95504,1.35303,0.1689,0.22222,0.11312,0.09128,2.43606,5.22455,4.08325,0.000709809,0.000709809,0.000709809
31,17391.3,1.15347,0.94345,1.35243,0.67938,0.33333,0.3138,0.27741,2.22318,3.72417,3.48323,0.000676802,0.000676802,0.000676802
32,17946,1.14364,0.9359,1.33951,0.19443,0.22222,0.25744,0.21556,2.31635,4.61496,3.48637,0.000643795,0.000643795,0.000643795
33,18499.9,1.11476,0.92765,1.33193,0.11059,0.33333,0.14822,0.11671,2.8752,4.98675,4.47123,0.000610789,0.000610789,0.000610789
34,19054.6,1.10787,0.92128,1.33248,0.1666,0.22222,0.23621,0.18911,2.54457,4.36447,4.14491,0.000577782,0.000577782,0.000577782
35,19609.4,1.10614,0.89338,1.31479,0.25418,0.22779,0.23505,0.21193,2.3895,3.9551,3.78826,0.000544776,0.000544776,0.000544776
36,20176.7,1.08928,0.90023,1.31309,0.12077,0.33333,0.16961,0.13164,2.62974,4.83498,4.45577,0.000511769,0.000511769,0.000511769
37,20861.3,1.0521,0.86661,1.28822,0.24033,0.22222,0.25426,0.21353,2.4108,5.50551,4.22821,0.000478762,0.000478762,0.000478762
38,21544.2,1.04418,0.85378,1.29021,0.27891,0.22222,0.27245,0.22491,2.26528,4.42041,3.95109,0.000445756,0.000445756,0.000445756
39,22164.7,1.05451,0.84775,1.28154,0.17704,0.22222,0.25512,0.22759,2.49251,4.66995,4.14601,0.000412749,0.000412749,0.000412749
40,22797.6,1.02855,0.8378,1.26941,0.18516,0.22222,0.25895,0.23095,2.70053,4.86813,4.75119,0.000379743,0.000379743,0.000379743
41,23395.6,0.97327,0.75254,1.3012,0.43225,0.22222,0.25574,0.22371,2.40679,3.9258,3.84557,0.000346736,0.000346736,0.000346736
42,24053.1,0.93891,0.70983,1.27244,0.36759,0.22222,0.25058,0.21117,2.37942,4.01213,3.91769,0.000313729,0.000313729,0.000313729
43,24672.3,0.90562,0.68771,1.24802,0.47022,0.22222,0.26134,0.21594,2.34942,4.32137,3.82231,0.000280723,0.000280723,0.000280723
44,25271.8,0.91222,0.67875,1.25227,0.51069,0.22222,0.25477,0.21601,2.40512,3.90514,3.90868,0.000247716,0.000247716,0.000247716
45,25856.2,0.87444,0.66432,1.22672,0.68331,0.22222,0.24896,0.22126,2.64031,3.86975,4.15669,0.00021471,0.00021471,0.00021471
46,26511.2,0.8643,0.63444,1.21788,0.44727,0.22222,0.25899,0.21975,2.27148,4.24052,3.86021,0.000181703,0.000181703,0.000181703
47,27144.7,0.84642,0.61835,1.20664,0.41297,0.22222,0.25579,0.21753,2.26191,4.39793,3.7381,0.000148696,0.000148696,0.000148696
48,27750.2,0.84292,0.6301,1.20854,0.48146,0.22222,0.25559,0.21696,2.30209,3.97214,3.62893,0.00011569,0.00011569,0.00011569
49,28372.2,0.81836,0.61052,1.17567,0.50777,0.22222,0.28183,0.22624,2.21626,3.8967,3.58875,8.26832e-05,8.26832e-05,8.26832e-05
50,28933.6,0.81007,0.60495,1.17483,0.47784,0.22222,0.28875,0.22815,2.23246,4.06636,3.66126,4.96766e-05,4.96766e-05,4.96766e-05
